1,30
2,23
3,21
4,24
5,4
6,24
7,4
8,6
9,14
10,5
11,18
12,6
13,5
14,28
15,3
16,6
17,24
18,22
19,24
20,12
21,13
22,14
23,8
24,30
25,12
26,17
27,25
28,16
29,11
30,16
31,30
32,25
33,7
34,11
35,3
36,11
37,24
38,18
39,7
40,15
41,20
42,9
43,14
44,26
45,7
46,20
47,15
48,3
49,6
50,14
51,13
52,14
53,25
54,17
55,19
56,29
57,19
58,28
59,18
60,21
61,17
62,9
63,14
64,27
65,20
66,28
67,5
68,9
69,8
70,16
71,23
72,25
73,5
74,25
75,13
76,25
77,22
78,27
79,9
80,6
81,17
82,10
83,26
84,7
85,6
86,7
87,21
88,10
89,24
90,24
91,30
92,7
93,26
94,21
95,15
96,16
97,19
98,11
99,16
100,12
101,12
102,10
103,20
104,6
105,27
106,6
107,16
108,23
109,13
110,30
111,4
112,10
113,6
114,6
115,4
116,13
117,9
118,23
119,26
120,21
121,4
122,17
123,30
124,29
125,17
126,16
127,15
128,4
129,26
130,12
131,3
132,9
133,23
134,28
135,22
136,5
137,10
138,27
139,9
140,12
141,29
142,6
143,26
144,20
145,12
146,25
147,25
148,27
149,26
150,4
151,10
152,23
153,10
154,26
155,22
156,25
157,15
158,7
159,27
160,8
161,17
162,15
163,3
164,12
165,23
166,26
167,5
168,19
169,9
170,18
171,16
172,12
173,6
174,16
175,6
176,7
177,28
178,20
179,17
180,28
181,25
182,4
183,5
184,8
185,18
186,8
187,25
188,18
189,16
190,16
191,24
192,15
193,10
194,27
195,4
196,9
197,10
198,17
199,21
200,27
201,27
202,24
203,24
204,10
205,16
206,15
207,28
208,23
209,24
210,26
211,8
212,14
213,26
214,7
215,27
216,27
217,9
218,19
219,15
220,3
221,8
222,5
223,20
224,21
225,7
226,29
227,29
228,12
229,21
230,28
231,26
232,26
233,11
234,28
235,10
236,4
237,15
238,10
239,28
240,9
241,26
242,29
243,12
244,23
245,12
246,7
247,24
248,28
249,22
250,6
251,5
252,18
253,14
254,25
255,17
256,3
257,7
258,16
259,30
260,25
261,4
262,11
263,16
264,6
265,26
266,27
267,30
268,12
269,26
270,23
271,30
272,20
273,5
274,19
275,12
276,12
277,28
278,21
279,8
280,7
281,29
282,18
283,23
284,13
285,27
286,8
287,21
288,29
289,30
290,22
291,13
292,20
293,18
294,18
295,28
296,22
297,30
298,21
299,6
300,15
301,14
302,18
303,30
304,12
305,18
306,8
307,22
308,21
309,6
310,10
311,7
312,29
313,22
314,22
315,12
316,13
317,19
318,30
319,10
320,17
321,13
322,8
323,7
324,24
325,20
326,13
327,4
328,27
329,6
330,5
331,17
332,13
333,19
334,29
335,5
336,14
337,12
338,9
339,14
340,22
341,10
342,21
343,22
344,30
345,26
346,3
347,9
348,10
349,14
350,20
351,7
352,22
353,19
354,21
355,10
356,15
357,10
358,4
359,25
360,4
361,18
362,24
363,25
364,23
365,13
366,18
367,9
368,14
369,3
370,22
371,5
372,3
373,27
374,18
375,11
376,29
377,4
378,5
379,5
380,12
381,23
382,12
383,19
384,9
385,12
386,15
387,6
388,7
389,16
390,16
391,15
392,10
393,11
394,6
395,26
396,3
397,27
398,11
399,27
400,19
401,15
402,30
403,22
404,28
405,14
406,9
407,7
408,22
409,24
410,20
411,13
412,23
413,20
414,4
415,24
416,12
417,20
418,15
419,10
420,9
421,22
422,11
423,15
424,20
425,16
426,22
427,5
428,17
429,30
430,26
431,15
432,9
433,13
434,11
435,18
436,5
437,23
438,14
439,19
440,6
441,3
442,7
443,28
444,27
445,3
446,27
447,29
448,19
449,28
450,8
451,15
452,14
453,23
454,7
455,11
456,6
457,9
458,17
459,18
460,23
461,18
462,6
463,21
464,12
465,11
466,30
467,29
468,22
469,14
470,17
471,25
472,24
473,11
474,3
475,7
476,4
477,9
478,29
479,14
480,12
481,7
482,3
483,4
484,12
485,5
486,23
487,17
488,25
489,10
490,23
491,28
492,20
493,23
494,27
495,18
496,17
497,20
498,30
499,30
500,22
