1,2015-9-25,25,9,1
2,2018-11-30,30,11,4
3,2015-10-3,3,10,1
4,2016-2-21,21,2,2
5,2015-8-14,14,8,1
6,2018-12-11,11,12,4
7,2015-12-27,27,12,1
8,2016-12-27,27,12,2
9,2018-8-5,5,8,4
10,2018-3-7,7,3,4
11,2017-5-3,3,5,3
12,2017-2-16,16,2,3
13,2018-9-6,6,9,4
14,2016-9-4,4,9,2
15,2016-10-27,27,10,2
16,2015-12-8,8,12,1
17,2015-8-19,19,8,1
18,2017-2-18,18,2,3
19,2018-9-27,27,9,4
20,2016-3-1,1,3,2
21,2017-8-14,14,8,3
22,2015-11-12,12,11,1
23,2016-5-7,7,5,2
24,2017-6-5,5,6,3
25,2017-1-16,16,1,3
26,2015-12-11,11,12,1
27,2015-3-27,27,3,1
28,2017-5-18,18,5,3
29,2016-5-24,24,5,2
30,2017-11-5,5,11,3
31,2018-9-25,25,9,4
32,2018-12-5,5,12,4
33,2018-9-22,22,9,4
34,2017-4-27,27,4,3
35,2016-10-5,5,10,2
36,2016-8-17,17,8,2
37,2018-12-26,26,12,4
38,2017-5-7,7,5,3
39,2018-11-25,25,11,4
40,2017-7-9,9,7,3
41,2018-3-25,25,3,4
42,2015-6-18,18,6,1
43,2015-9-15,15,9,1
44,2017-1-12,12,1,3
45,2016-5-28,28,5,2
46,2018-11-19,19,11,4
47,2016-12-12,12,12,2
48,2015-3-8,8,3,1
49,2017-10-23,23,10,3
50,2016-10-28,28,10,2
51,2017-12-24,24,12,3
52,2015-5-30,30,5,1
53,2015-8-10,10,8,1
54,2017-12-9,9,12,3
55,2018-3-7,7,3,4
56,2015-7-9,9,7,1
57,2017-10-23,23,10,3
58,2015-5-14,14,5,1
59,2017-6-10,10,6,3
60,2018-2-27,27,2,4
61,2015-1-3,3,1,1
62,2018-7-15,15,7,4
63,2015-9-14,14,9,1
64,2015-11-21,21,11,1
65,2015-8-10,10,8,1
66,2018-7-15,15,7,4
67,2015-11-26,26,11,1
68,2017-9-25,25,9,3
69,2017-4-17,17,4,3
70,2015-6-2,2,6,1
71,2015-3-31,31,3,1
72,2018-5-5,5,5,4
73,2017-1-7,7,1,3
74,2016-4-5,5,4,2
75,2017-10-11,11,10,3
76,2017-3-24,24,3,3
77,2015-12-18,18,12,1
78,2017-12-4,4,12,3
79,2015-1-15,15,1,1
80,2016-10-16,16,10,2
81,2015-2-23,23,2,1
82,2015-4-17,17,4,1
83,2018-10-21,21,10,4
84,2017-3-1,1,3,3
85,2015-6-8,8,6,1
86,2017-12-3,3,12,3
87,2015-7-1,1,7,1
88,2017-10-9,9,10,3
89,2016-4-10,10,4,2
90,2015-2-5,5,2,1
91,2016-11-11,11,11,2
92,2016-10-16,16,10,2
93,2018-10-31,31,10,4
94,2016-4-21,21,4,2
95,2018-6-6,6,6,4
96,2015-12-6,6,12,1
97,2016-8-29,29,8,2
98,2017-6-14,14,6,3
99,2016-8-7,7,8,2
100,2018-5-20,20,5,4
101,2016-11-6,6,11,2
102,2017-4-13,13,4,3
103,2017-2-4,4,2,3
104,2018-8-9,9,8,4
105,2016-10-14,14,10,2
106,2018-11-30,30,11,4
107,2018-6-15,15,6,4
108,2017-2-10,10,2,3
109,2017-2-13,13,2,3
110,2016-1-31,31,1,2
111,2018-5-29,29,5,4
112,2016-11-13,13,11,2
113,2016-12-27,27,12,2
114,2015-7-14,14,7,1
115,2016-10-6,6,10,2
116,2018-11-29,29,11,4
117,2016-6-2,2,6,2
118,2015-7-6,6,7,1
119,2016-1-18,18,1,2
120,2015-12-9,9,12,1
121,2017-2-8,8,2,3
122,2016-7-14,14,7,2
123,2018-1-9,9,1,4
124,2015-11-17,17,11,1
125,2015-3-19,19,3,1
126,2017-11-8,8,11,3
127,2015-12-17,17,12,1
128,2018-6-19,19,6,4
129,2018-3-18,18,3,4
130,2017-8-29,29,8,3
131,2015-6-1,1,6,1
132,2018-7-30,30,7,4
133,2017-1-9,9,1,3
134,2017-10-9,9,10,3
135,2017-2-15,15,2,3
136,2016-3-28,28,3,2
137,2017-5-24,24,5,3
138,2016-1-2,2,1,2
139,2018-5-25,25,5,4
140,2017-7-1,1,7,3
141,2016-6-3,3,6,2
142,2016-9-28,28,9,2
143,2016-8-25,25,8,2
144,2016-1-13,13,1,2
145,2015-8-27,27,8,1
146,2017-3-29,29,3,3
147,2018-5-6,6,5,4
148,2016-11-21,21,11,2
149,2016-6-10,10,6,2
150,2018-4-13,13,4,4
151,2017-9-12,12,9,3
152,2018-4-17,17,4,4
153,2017-2-13,13,2,3
154,2018-12-3,3,12,4
155,2016-9-23,23,9,2
156,2015-8-24,24,8,1
157,2017-5-13,13,5,3
158,2018-12-24,24,12,4
159,2015-7-15,15,7,1
160,2017-9-9,9,9,3
161,2018-6-30,30,6,4
162,2018-9-10,10,9,4
163,2017-5-8,8,5,3
164,2017-5-17,17,5,3
165,2017-11-24,24,11,3
166,2017-9-28,28,9,3
167,2016-2-7,7,2,2
168,2016-7-20,20,7,2
169,2016-12-11,11,12,2
170,2018-8-10,10,8,4
171,2015-1-14,14,1,1
172,2018-10-3,3,10,4
173,2015-4-23,23,4,1
174,2015-9-18,18,9,1
175,2017-10-13,13,10,3
176,2017-1-5,5,1,3
177,2018-9-28,28,9,4
178,2017-8-23,23,8,3
179,2016-11-9,9,11,2
180,2016-9-30,30,9,2
181,2018-4-18,18,4,4
182,2018-11-11,11,11,4
183,2016-11-23,23,11,2
184,2016-2-11,11,2,2
185,2017-9-9,9,9,3
186,2017-6-12,12,6,3
187,2018-9-19,19,9,4
188,2018-7-22,22,7,4
189,2016-12-15,15,12,2
190,2018-1-15,15,1,4
191,2015-10-19,19,10,1
192,2016-5-21,21,5,2
193,2016-6-24,24,6,2
194,2016-7-29,29,7,2
195,2018-9-21,21,9,4
196,2018-12-5,5,12,4
197,2015-8-22,22,8,1
198,2018-2-20,20,2,4
199,2018-1-11,11,1,4
200,2018-5-11,11,5,4
201,2017-1-3,3,1,3
202,2018-7-7,7,7,4
203,2017-11-30,30,11,3
204,2018-5-11,11,5,4
205,2017-12-14,14,12,3
206,2017-1-31,31,1,3
207,2015-2-17,17,2,1
208,2016-10-9,9,10,2
209,2016-5-14,14,5,2
210,2017-5-6,6,5,3
211,2016-8-15,15,8,2
212,2017-2-20,20,2,3
213,2015-7-13,13,7,1
214,2015-12-27,27,12,1
215,2018-11-6,6,11,4
216,2015-9-9,9,9,1
217,2018-10-21,21,10,4
218,2015-8-3,3,8,1
219,2018-5-20,20,5,4
220,2015-1-31,31,1,1
221,2017-12-12,12,12,3
222,2017-12-25,25,12,3
223,2016-1-22,22,1,2
224,2017-12-1,1,12,3
225,2018-10-7,7,10,4
226,2017-10-16,16,10,3
227,2018-6-1,1,6,4
228,2015-11-12,12,11,1
229,2017-6-12,12,6,3
230,2015-5-31,31,5,1
231,2017-10-4,4,10,3
232,2016-4-10,10,4,2
233,2016-5-2,2,5,2
234,2015-9-21,21,9,1
235,2017-9-23,23,9,3
236,2017-7-25,25,7,3
237,2018-11-4,4,11,4
238,2015-4-25,25,4,1
239,2015-11-9,9,11,1
240,2015-3-30,30,3,1
241,2016-7-13,13,7,2
242,2016-10-14,14,10,2
243,2016-4-4,4,4,2
244,2017-3-22,22,3,3
245,2016-4-11,11,4,2
246,2018-3-12,12,3,4
247,2015-10-26,26,10,1
248,2015-2-16,16,2,1
249,2017-10-31,31,10,3
250,2015-4-19,19,4,1
251,2015-2-15,15,2,1
252,2016-12-31,31,12,2
253,2016-6-25,25,6,2
254,2016-4-1,1,4,2
255,2015-4-11,11,4,1
256,2018-3-4,4,3,4
257,2016-12-17,17,12,2
258,2017-6-29,29,6,3
259,2016-5-29,29,5,2
260,2015-3-31,31,3,1
261,2018-7-14,14,7,4
262,2018-7-22,22,7,4
263,2015-1-13,13,1,1
264,2018-8-29,29,8,4
265,2016-9-22,22,9,2
266,2017-1-1,1,1,3
267,2016-11-5,5,11,2
268,2016-11-16,16,11,2
269,2017-1-6,6,1,3
270,2016-10-30,30,10,2
271,2015-7-16,16,7,1
272,2015-4-9,9,4,1
273,2015-1-21,21,1,1
274,2018-11-18,18,11,4
275,2018-6-22,22,6,4
276,2018-8-21,21,8,4
277,2015-3-16,16,3,1
278,2016-6-10,10,6,2
279,2016-4-22,22,4,2
280,2015-3-9,9,3,1
281,2016-3-17,17,3,2
282,2017-2-16,16,2,3
283,2016-4-24,24,4,2
284,2017-4-12,12,4,3
285,2018-12-20,20,12,4
286,2016-8-19,19,8,2
287,2016-12-4,4,12,2
288,2015-5-12,12,5,1
289,2018-5-13,13,5,4
290,2015-12-11,11,12,1
291,2016-4-17,17,4,2
292,2016-8-24,24,8,2
293,2018-6-16,16,6,4
294,2017-4-21,21,4,3
295,2018-11-15,15,11,4
296,2016-11-2,2,11,2
297,2017-8-13,13,8,3
298,2016-6-18,18,6,2
299,2015-5-10,10,5,1
300,2016-4-4,4,4,2
301,2015-6-18,18,6,1
302,2016-10-9,9,10,2
303,2016-4-10,10,4,2
304,2017-8-8,8,8,3
305,2018-3-17,17,3,4
306,2017-5-31,31,5,3
307,2016-1-7,7,1,2
308,2018-3-31,31,3,4
309,2016-1-11,11,1,2
310,2018-8-14,14,8,4
311,2016-2-9,9,2,2
312,2015-6-9,9,6,1
313,2018-4-21,21,4,4
314,2017-5-30,30,5,3
315,2016-10-2,2,10,2
316,2018-5-17,17,5,4
317,2018-8-24,24,8,4
318,2017-11-30,30,11,3
319,2016-9-11,11,9,2
320,2015-4-27,27,4,1
321,2015-11-4,4,11,1
322,2015-2-20,20,2,1
323,2016-3-11,11,3,2
324,2015-7-30,30,7,1
325,2018-7-2,2,7,4
326,2017-10-17,17,10,3
327,2016-3-3,3,3,2
328,2016-2-19,19,2,2
329,2016-9-13,13,9,2
330,2018-2-14,14,2,4
331,2015-2-20,20,2,1
332,2018-8-24,24,8,4
333,2018-12-26,26,12,4
334,2017-5-10,10,5,3
335,2015-6-13,13,6,1
336,2017-1-23,23,1,3
337,2015-9-7,7,9,1
338,2016-1-9,9,1,2
339,2015-1-25,25,1,1
340,2017-7-22,22,7,3
341,2016-8-23,23,8,2
342,2016-12-12,12,12,2
343,2016-8-25,25,8,2
344,2015-1-23,23,1,1
345,2016-8-30,30,8,2
346,2017-4-16,16,4,3
347,2018-4-14,14,4,4
348,2015-5-29,29,5,1
349,2015-6-20,20,6,1
350,2017-8-21,21,8,3
351,2018-5-6,6,5,4
352,2017-1-18,18,1,3
353,2017-11-19,19,11,3
354,2017-1-13,13,1,3
355,2018-9-19,19,9,4
356,2018-4-18,18,4,4
357,2015-1-30,30,1,1
358,2016-2-3,3,2,2
359,2015-1-27,27,1,1
360,2018-12-16,16,12,4
361,2018-2-10,10,2,4
362,2018-8-11,11,8,4
363,2018-7-7,7,7,4
364,2016-2-20,20,2,2
365,2015-6-12,12,6,1
366,2015-4-24,24,4,1
367,2017-12-11,11,12,3
368,2016-11-7,7,11,2
369,2016-4-27,27,4,2
370,2018-4-27,27,4,4
371,2018-7-13,13,7,4
372,2018-2-10,10,2,4
373,2018-3-14,14,3,4
374,2018-2-21,21,2,4
375,2018-9-14,14,9,4
376,2015-12-5,5,12,1
377,2015-8-19,19,8,1
378,2017-8-13,13,8,3
379,2016-2-10,10,2,2
380,2015-11-22,22,11,1
381,2018-6-1,1,6,4
382,2015-4-11,11,4,1
383,2017-2-28,28,2,3
384,2016-4-6,6,4,2
385,2015-7-12,12,7,1
386,2017-7-9,9,7,3
387,2015-8-1,1,8,1
388,2016-4-17,17,4,2
389,2015-1-31,31,1,1
390,2015-11-13,13,11,1
391,2018-11-14,14,11,4
392,2016-2-5,5,2,2
393,2018-6-27,27,6,4
394,2015-11-3,3,11,1
395,2015-10-10,10,10,1
396,2016-11-27,27,11,2
397,2015-9-16,16,9,1
398,2018-1-14,14,1,4
399,2015-1-9,9,1,1
400,2016-12-6,6,12,2
401,2018-6-24,24,6,4
402,2015-6-20,20,6,1
403,2018-10-26,26,10,4
404,2017-5-11,11,5,3
405,2016-7-23,23,7,2
406,2017-7-22,22,7,3
407,2015-2-19,19,2,1
408,2017-2-1,1,2,3
409,2015-10-22,22,10,1
410,2017-5-4,4,5,3
411,2016-7-31,31,7,2
412,2017-6-14,14,6,3
413,2015-3-16,16,3,1
414,2015-11-2,2,11,1
415,2015-7-9,9,7,1
416,2018-1-31,31,1,4
417,2016-8-1,1,8,2
418,2018-2-11,11,2,4
419,2016-8-3,3,8,2
420,2017-12-31,31,12,3
421,2015-2-1,1,2,1
422,2016-5-9,9,5,2
423,2015-1-1,1,1,1
424,2017-1-20,20,1,3
425,2015-7-3,3,7,1
426,2018-9-25,25,9,4
427,2018-9-3,3,9,4
428,2016-2-1,1,2,2
429,2018-2-18,18,2,4
430,2015-8-10,10,8,1
431,2017-4-10,10,4,3
432,2015-11-12,12,11,1
433,2017-10-11,11,10,3
434,2018-12-2,2,12,4
435,2018-4-8,8,4,4
436,2016-4-7,7,4,2
437,2016-8-17,17,8,2
438,2015-4-2,2,4,1
439,2015-2-13,13,2,1
440,2018-8-28,28,8,4
441,2017-9-3,3,9,3
442,2015-12-14,14,12,1
443,2017-2-24,24,2,3
444,2015-12-19,19,12,1
445,2016-12-2,2,12,2
446,2017-11-22,22,11,3
447,2015-2-3,3,2,1
448,2015-8-15,15,8,1
449,2017-1-24,24,1,3
450,2018-10-10,10,10,4
451,2015-3-20,20,3,1
452,2015-7-18,18,7,1
453,2016-2-27,27,2,2
454,2018-2-26,26,2,4
455,2016-11-12,12,11,2
456,2018-7-30,30,7,4
457,2018-11-1,1,11,4
458,2015-12-24,24,12,1
459,2016-10-13,13,10,2
460,2016-5-18,18,5,2
461,2016-2-23,23,2,2
462,2017-9-5,5,9,3
463,2015-3-14,14,3,1
464,2017-4-24,24,4,3
465,2016-10-10,10,10,2
466,2016-11-24,24,11,2
467,2015-2-7,7,2,1
468,2016-6-26,26,6,2
469,2017-7-5,5,7,3
470,2018-1-15,15,1,4
471,2017-4-1,1,4,3
472,2017-10-1,1,10,3
473,2018-1-6,6,1,4
474,2015-4-1,1,4,1
475,2015-12-15,15,12,1
476,2018-8-21,21,8,4
477,2017-3-10,10,3,3
478,2016-10-19,19,10,2
479,2016-4-20,20,4,2
480,2018-2-5,5,2,4
481,2017-3-11,11,3,3
482,2015-6-9,9,6,1
483,2016-10-30,30,10,2
484,2018-3-14,14,3,4
485,2018-3-31,31,3,4
486,2015-9-4,4,9,1
487,2016-10-7,7,10,2
488,2016-3-16,16,3,2
489,2015-5-30,30,5,1
490,2018-7-23,23,7,4
491,2018-9-25,25,9,4
492,2016-9-11,11,9,2
493,2017-2-8,8,2,3
494,2017-12-18,18,12,3
495,2016-8-1,1,8,2
496,2016-1-1,1,1,2
497,2018-9-20,20,9,4
498,2018-9-14,14,9,4
499,2015-11-12,12,11,1
500,2017-12-6,6,12,3
