1,Kielce,Swietokrzyskie
2,Gdansk,Pomorskie
3,Kielce,Swietokrzyskie
4,Sosnowiec,Slaskie
5,Gdynia,Pomorskie
6,Radom,Mazowieckie
7,Czestochowa,Slaskie
8,Gdansk,Pomorskie
9,Wroclaw,Dolnoslaskie
10,Gdynia,Pomorskie
11,Czestochowa,Slaskie
12,Gdansk,Pomorskie
13,Gdansk,Pomorskie
14,Kielce,Swietokrzyskie
15,Krakow,Malopolskie
16,Czestochowa,Slaskie
17,Suwalki,Podlaskie
18,Warszawa,Mazowieckie
19,Czestochowa,Slaskie
20,Czestochowa,Slaskie
21,Kielce,Swietokrzyskie
22,Sosnowiec,Slaskie
23,Kielce,Swietokrzyskie
24,Poznan,Wielkopolskie
25,Suwalki,Podlaskie
26,Warszawa,Mazowieckie
27,Warszawa,Mazowieckie
28,Warszawa,Mazowieckie
29,Sosnowiec,Slaskie
30,Warszawa,Mazowieckie
31,Warszawa,Mazowieckie
32,Warszawa,Mazowieckie
33,Wroclaw,Dolnoslaskie
34,Radom,Mazowieckie
35,Suwalki,Podlaskie
36,Wroclaw,Dolnoslaskie
37,Radom,Mazowieckie
38,Kielce,Swietokrzyskie
39,Gdynia,Pomorskie
40,Sosnowiec,Slaskie
41,Czestochowa,Slaskie
42,Poznan,Wielkopolskie
43,Warszawa,Mazowieckie
44,Sosnowiec,Slaskie
45,Gdansk,Pomorskie
46,Czestochowa,Slaskie
47,Radom,Mazowieckie
48,Gdynia,Pomorskie
49,Wroclaw,Dolnoslaskie
50,Gdansk,Pomorskie
51,Gdansk,Pomorskie
52,Radom,Mazowieckie
53,Kielce,Swietokrzyskie
54,Kielce,Swietokrzyskie
55,Czestochowa,Slaskie
56,Wroclaw,Dolnoslaskie
57,Krakow,Malopolskie
58,Gdynia,Pomorskie
59,Poznan,Wielkopolskie
60,Suwalki,Podlaskie
61,Gdynia,Pomorskie
62,Krakow,Malopolskie
63,Sosnowiec,Slaskie
64,Kielce,Swietokrzyskie
65,Sosnowiec,Slaskie
66,Warszawa,Mazowieckie
67,Krakow,Malopolskie
68,Poznan,Wielkopolskie
69,Kielce,Swietokrzyskie
70,Czestochowa,Slaskie
71,Krakow,Malopolskie
72,Krakow,Malopolskie
73,Krakow,Malopolskie
74,Gdansk,Pomorskie
75,Gdynia,Pomorskie
76,Suwalki,Podlaskie
77,Czestochowa,Slaskie
78,Poznan,Wielkopolskie
79,Krakow,Malopolskie
80,Warszawa,Mazowieckie
81,Krakow,Malopolskie
82,Czestochowa,Slaskie
83,Suwalki,Podlaskie
84,Radom,Mazowieckie
85,Wroclaw,Dolnoslaskie
86,Poznan,Wielkopolskie
87,Wroclaw,Dolnoslaskie
88,Radom,Mazowieckie
89,Radom,Mazowieckie
90,Sosnowiec,Slaskie
91,Gdynia,Pomorskie
92,Radom,Mazowieckie
93,Gdynia,Pomorskie
94,Warszawa,Mazowieckie
95,Krakow,Malopolskie
96,Czestochowa,Slaskie
97,Gdansk,Pomorskie
98,Wroclaw,Dolnoslaskie
99,Gdansk,Pomorskie
