1,213,410,299,196,418,235,100,1,19,120,302,73,365
2,26,351,28,402,374,53,101,69,19,189,441,33,165
3,348,65,231,97,37,122,83,61,20,164,371,64,320
4,325,372,28,410,37,321,45,71,13,129,277,74,370
5,457,241,404,475,244,291,108,41,15,164,406,30,150
6,21,198,137,357,341,429,3,37,14,54,83,72,360
7,336,201,394,310,240,80,25,64,7,96,203,20,100
8,338,394,447,368,287,65,82,59,17,158,364,74,370
9,486,121,155,210,291,407,87,37,2,126,335,61,305
10,380,260,477,106,155,494,50,71,1,122,292,9,45
11,377,249,157,246,156,341,107,85,11,203,491,54,270
12,185,298,485,148,211,201,22,57,18,97,180,73,365
13,268,355,211,15,448,106,14,82,20,116,206,21,105
14,416,458,104,385,11,233,22,88,4,114,242,50,250
15,93,349,478,335,33,155,108,84,18,210,492,65,325
16,492,390,195,392,116,441,49,39,14,102,225,56,280
17,191,143,283,434,337,359,116,63,16,195,474,35,175
18,30,31,256,447,275,149,82,72,20,174,390,8,40
19,338,336,234,476,56,345,97,40,8,145,371,43,215
20,206,313,489,383,235,496,21,72,18,111,207,23,115
21,435,403,187,233,83,390,21,29,1,51,121,73,365
22,217,211,431,291,23,79,82,15,13,110,276,41,205
23,498,13,446,426,201,251,38,25,3,66,164,57,285
24,316,459,165,386,241,485,118,62,16,196,478,17,85
25,430,465,267,77,365,111,105,80,9,194,475,50,250
26,308,472,20,462,6,82,89,16,1,106,299,29,145
27,310,361,407,304,90,492,91,68,8,167,409,62,310
28,326,48,363,74,90,118,59,74,19,152,325,23,115
29,98,189,308,118,335,492,56,63,10,129,294,49,245
30,226,242,387,128,450,104,33,13,8,54,125,3,15
31,125,34,251,139,328,274,27,95,5,127,271,5,25
32,480,454,491,200,314,40,68,90,19,177,384,73,365
33,11,405,184,319,54,170,93,40,6,139,359,14,70
34,384,211,67,33,490,195,9,24,19,52,75,60,300
35,296,405,105,98,423,175,9,88,14,111,203,59,295
36,487,433,220,156,385,225,115,2,16,133,349,68,340
37,246,118,500,95,300,312,4,48,12,64,108,4,20
38,495,311,201,481,87,205,21,11,19,51,85,30,150
39,161,132,398,43,111,151,59,34,18,111,245,43,215
40,379,34,37,486,312,480,69,4,9,82,215,59,295
41,217,297,401,216,254,215,45,100,18,163,335,56,280
42,288,330,147,231,25,487,60,64,17,141,308,12,60
43,129,500,390,303,395,428,9,12,1,22,51,58,290
44,172,108,255,11,40,268,16,43,2,61,134,53,265
45,316,122,305,315,172,244,113,85,18,216,509,42,210
46,161,232,207,414,413,429,67,81,1,149,363,45,225
47,43,83,39,333,426,444,92,51,13,156,378,21,105
48,371,216,136,424,43,9,109,63,16,188,453,48,240
49,455,266,300,490,385,292,114,31,20,165,404,30,150
50,431,419,184,363,50,455,12,53,8,73,142,45,225
51,305,194,282,432,13,85,96,83,11,190,454,22,110
